Index;PartNumber;Material;ID_nom;OD_nom;Len;Weight;ID_pic;OD_pic
134;1000560090155;H-Pur | FDA;56.0;90.0;155;0.966;;
135;1000560094155;H-Pur | FDA;56.0;94.0;155;1.105;;
136;1000560103155;H-Pur | FDA;56.0;103.0;155;1.44;;
137;1000560110155;H-Pur | FDA;56.0;110.0;155;1.722;;
138;1000560118155;H-Pur | FDA;56.0;118.0;155;2.067;;
139;1000560126155;H-Pur | FDA;56.0;126.0;155;2.436;;
140;1000600079155;H-Pur | FDA;60.0;79.0;155;0.53;;
141;1000600084155;H-Pur | FDA;60.0;84.0;155;0.684;;
142;1000600087155;H-Pur | FDA;60.0;87.0;155;0.781;;
143;1000600090155;H-Pur | FDA;60.0;90.0;155;0.882;;
144;1000600094155;H-Pur | FDA;60.0;94.0;155;1.021;;
145;1000600103155;H-Pur | FDA;60.0;103.0;155;1.356;;
146;1000600106155;H-Pur | FDA;60.0;106.0;155;1.475;;
147;1000600110155;H-Pur | FDA;60.0;110.0;155;1.638;;
148;1000600118155;H-Pur | FDA;60.0;118.0;155;1.983;;
149;1000600126155;H-Pur | FDA;60.0;126.0;155;2.352;;
150;1000630082155;H-Pur | FDA;63.0;82.0;155;0.555;;
151;1000630087155;H-Pur | FDA;63.0;87.0;155;0.715;;
152;1000630090155;H-Pur | FDA;63.0;90.0;155;0.815;;
153;1000630096155;H-Pur | FDA;63.0;96.0;155;1.026;;
154;1000630103155;H-Pur | FDA;63.0;103.0;155;1.289;;
155;1000630106155;H-Pur | FDA;63.0;106.0;155;1.408;;
156;1000630110155;H-Pur | FDA;63.0;110.0;155;1.571;;
157;1000630118155;H-Pur | FDA;63.0;118.0;155;1.916;;
158;1000630126155;H-Pur | FDA;63.0;126.0;155;2.285;;
159;1000660084155;H-Pur | FDA;66.0;84.0;155;0.548;;
160;1000660087155;H-Pur | FDA;66.0;87.0;155;0.645;;
161;1000660090155;H-Pur | FDA;66.0;90.0;155;0.745;;
162;1000660094155;H-Pur | FDA;66.0;94.0;155;0.884;;
163;1000660103155;H-Pur | FDA;66.0;103.0;155;1.22;;
164;1000660106155;H-Pur | FDA;66.0;106.0;155;1.338;;
165;1000660110155;H-Pur | FDA;66.0;110.0;155;1.502;;
166;1000660118155;H-Pur | FDA;66.0;118.0;155;1.846;;
167;1000660126155;H-Pur | FDA;66.0;126.0;155;2.216;;
168;1000660134155;H-Pur | FDA;66.0;134.0;155;2.609;;
169;1000700087155;H-Pur | FDA;70.0;87.0;155;0.546;;
170;1000700090155;H-Pur | FDA;70.0;90.0;155;0.647;;
171;1000700094155;H-Pur | FDA;70.0;94.0;155;0.786;;
172;1000700103155;H-Pur | FDA;70.0;103.0;155;1.121;;
173;1000700106155;H-Pur | FDA;70.0;106.0;155;1.24;;
174;1000700110155;H-Pur | FDA;70.0;110.0;155;1.403;;
175;1000700118155;H-Pur | FDA;70.0;118.0;155;1.748;;
176;1000700126155;H-Pur | FDA;70.0;126.0;155;2.117;;
177;1000740094155;H-Pur | FDA;74.0;94.0;155;0.682;;
178;1000740103155;H-Pur | FDA;74.0;103.0;155;1.017;;
179;1000740106155;H-Pur | FDA;74.0;106.0;155;1.136;;
180;1000740110155;H-Pur | FDA;74.0;110.0;155;1.299;;
181;1000740114155;H-Pur | FDA;74.0;114.0;155;1.469;;
182;1000740118155;H-Pur | FDA;74.0;118.0;155;1.644;;
183;1000740122155;H-Pur | FDA;74.0;122.0;155;1.826;;
184;1000740126155;H-Pur | FDA;74.0;126.0;155;2.013;;
185;1000740129155;H-Pur | FDA;74.0;129.0;155;2.158;;
186;1000740134155;H-Pur | FDA;74.0;134.0;155;2.406;;
187;1000790096155;H-Pur | FDA;79.0;96.0;155;0.616;;
188;1000790103155;H-Pur | FDA;79.0;103.0;155;0.879;;
189;1000790106155;H-Pur | FDA;79.0;106.0;155;0.998;;
190;1000790112155;H-Pur | FDA;79.0;112.0;155;1.245;;
191;1000790118155;H-Pur | FDA;79.0;118.0;155;1.506;;
192;1000790126155;H-Pur | FDA;79.0;126.0;155;1.875;;
193;1000790134155;H-Pur | FDA;79.0;134.0;155;2.268;;
194;1000790142155;H-Pur | FDA;79.0;142.0;155;2.686;;
195;1000820103155;H-Pur | FDA;82.0;103.0;155;0.792;;
196;1000820106155;H-Pur | FDA;82.0;106.0;155;0.91;;
197;1000820110155;H-Pur | FDA;82.0;110.0;155;1.074;;
198;1000820114155;H-Pur | FDA;82.0;114.0;155;1.243;;
199;1000820118155;H-Pur | FDA;82.0;118.0;155;1.419;;
200;1000820122155;H-Pur | FDA;82.0;122.0;155;1.6;;
201;1000820126155;H-Pur | FDA;82.0;126.0;155;1.788;;
202;1000820129155;H-Pur | FDA;82.0;129.0;155;1.932;;
203;1000820134155;H-Pur | FDA;82.0;134.0;155;2.181;;
204;1000820142155;H-Pur | FDA;82.0;142.0;155;2.599;;
205;1000820150155;H-Pur | FDA;82.0;150.0;155;3.04;;
206;1000860103155;H-Pur | FDA;86.0;103.0;155;0.67;;
207;1000860106155;H-Pur | FDA;86.0;106.0;155;0.789;;
208;1000860112155;H-Pur | FDA;86.0;112.0;155;1.036;;
209;1000860118155;H-Pur | FDA;86.0;118.0;155;1.297;;
210;1000860122155;H-Pur | FDA;86.0;122.0;155;1.479;;
211;1000860126155;H-Pur | FDA;86.0;126.0;155;1.666;;
212;1000860129155;H-Pur | FDA;86.0;129.0;155;1.811;;
213;1000860134155;H-Pur | FDA;86.0;134.0;155;2.06;;
214;1000860142155;H-Pur | FDA;86.0;142.0;155;2.477;;
215;1000860150155;H-Pur | FDA;86.0;150.0;155;2.919;;
216;1000900110155;H-Pur | FDA;90.0;110.0;155;0.825;;
217;1000900114155;H-Pur | FDA;90.0;114.0;155;0.994;;
218;1000900118155;H-Pur | FDA;90.0;118.0;155;1.17;;
219;1000900122155;H-Pur | FDA;90.0;122.0;155;1.351;;
220;1000900126155;H-Pur | FDA;90.0;126.0;155;1.539;;
221;1000900129155;H-Pur | FDA;90.0;129.0;155;1.684;;
222;1000900134155;H-Pur | FDA;90.0;134.0;155;1.932;;
223;1000900142155;H-Pur | FDA;90.0;142.0;155;2.35;;
224;1000900150155;H-Pur | FDA;90.0;150.0;155;2.792;;
225;1000900158155;H-Pur | FDA;90.0;158.0;155;3.258;;
226;1000960114155;H-Pur | FDA;96.0;114.0;155;0.793;;
227;1000960118155;H-Pur | FDA;96.0;118.0;155;0.968;;
228;1000960122155;H-Pur | FDA;96.0;122.0;155;1.15;;
229;1000960126155;H-Pur | FDA;96.0;126.0;155;1.337;;
230;1000960129155;H-Pur | FDA;96.0;129.0;155;1.482;;
231;1000960134155;H-Pur | FDA;96.0;134.0;155;1.731;;
232;1000960142155;H-Pur | FDA;96.0;142.0;155;2.148;;
233;1000960150155;H-Pur | FDA;96.0;150.0;155;2.59;;
234;1000960158155;H-Pur | FDA;96.0;158.0;155;3.056;;
235;1000960164155;H-Pur | FDA;96.0;164.0;155;3.421;;
236;1001060126155;H-Pur | FDA;106.0;126.0;155;0.972;;
237;1001060129155;H-Pur | FDA;106.0;129.0;155;1.117;;
238;1001060134155;H-Pur | FDA;106.0;134.0;155;1.366;;
