Index;PartNumber;Material;ID_nom;OD_nom;Len;Weight;ID_pic;OD_pic
13785;7000560090155;Max H-Pur | FDA;56.0;90.0;155;0.808;;
13786;7000560094155;Max H-Pur | FDA;56.0;94.0;155;0.925;;
13787;7000560103155;Max H-Pur | FDA;56.0;103.0;155;1.205;;
13788;7000560110155;Max H-Pur | FDA;56.0;110.0;155;1.44;;
13789;7000560118155;Max H-Pur | FDA;56.0;118.0;155;1.728;;
13790;7000560126155;Max H-Pur | FDA;56.0;126.0;155;2.037;;
13791;7000600079155;Max H-Pur | FDA;60.0;79.0;155;0.445;;
13792;7000600084155;Max H-Pur | FDA;60.0;84.0;155;0.574;;
13793;7000600087155;Max H-Pur | FDA;60.0;87.0;155;0.655;;
13794;7000600090155;Max H-Pur | FDA;60.0;90.0;155;0.738;;
13795;7000600094155;Max H-Pur | FDA;60.0;94.0;155;0.855;;
13796;7000600103155;Max H-Pur | FDA;60.0;103.0;155;1.135;;
13797;7000600106155;Max H-Pur | FDA;60.0;106.0;155;1.234;;
13798;7000600110155;Max H-Pur | FDA;60.0;110.0;155;1.37;;
13799;7000600118155;Max H-Pur | FDA;60.0;118.0;155;1.658;;
13800;7000600126155;Max H-Pur | FDA;60.0;126.0;155;1.967;;
13801;7000630082155;Max H-Pur | FDA;63.0;82.0;155;0.466;;
13802;7000630087155;Max H-Pur | FDA;63.0;87.0;155;0.599;;
13803;7000630090155;Max H-Pur | FDA;63.0;90.0;155;0.683;;
13804;7000630096155;Max H-Pur | FDA;63.0;96.0;155;0.859;;
13805;7000630103155;Max H-Pur | FDA;63.0;103.0;155;1.079;;
13806;7000630106155;Max H-Pur | FDA;63.0;106.0;155;1.178;;
13807;7000630110155;Max H-Pur | FDA;63.0;110.0;155;1.315;;
13808;7000630118155;Max H-Pur | FDA;63.0;118.0;155;1.603;;
13809;7000630126155;Max H-Pur | FDA;63.0;126.0;155;1.911;;
13810;7000660084155;Max H-Pur | FDA;66.0;84.0;155;0.46;;
13811;7000660087155;Max H-Pur | FDA;66.0;87.0;155;0.541;;
13812;7000660090155;Max H-Pur | FDA;66.0;90.0;155;0.625;;
13813;7000660094155;Max H-Pur | FDA;66.0;94.0;155;0.741;;
13814;7000660103155;Max H-Pur | FDA;66.0;103.0;155;1.021;;
13815;7000660106155;Max H-Pur | FDA;66.0;106.0;155;1.12;;
13816;7000660110155;Max H-Pur | FDA;66.0;110.0;155;1.257;;
13817;7000660118155;Max H-Pur | FDA;66.0;118.0;155;1.545;;
13818;7000660126155;Max H-Pur | FDA;66.0;126.0;155;1.853;;
13819;7000660134155;Max H-Pur | FDA;66.0;134.0;155;2.182;;
13820;7000700087155;Max H-Pur | FDA;70.0;87.0;155;0.459;;
13821;7000700090155;Max H-Pur | FDA;70.0;90.0;155;0.543;;
13822;7000700094155;Max H-Pur | FDA;70.0;94.0;155;0.659;;
13823;7000700103155;Max H-Pur | FDA;70.0;103.0;155;0.939;;
13824;7000700106155;Max H-Pur | FDA;70.0;106.0;155;1.038;;
13825;7000700110155;Max H-Pur | FDA;70.0;110.0;155;1.175;;
13826;7000700118155;Max H-Pur | FDA;70.0;118.0;155;1.463;;
13827;7000700126155;Max H-Pur | FDA;70.0;126.0;155;1.771;;
13828;7000740094155;Max H-Pur | FDA;74.0;94.0;155;0.573;;
13829;7000740103155;Max H-Pur | FDA;74.0;103.0;155;0.853;;
13830;7000740106155;Max H-Pur | FDA;74.0;106.0;155;0.952;;
13831;7000740110155;Max H-Pur | FDA;74.0;110.0;155;1.088;;
13832;7000740114155;Max H-Pur | FDA;74.0;114.0;155;1.23;;
13833;7000740118155;Max H-Pur | FDA;74.0;118.0;155;1.376;;
13834;7000740122155;Max H-Pur | FDA;74.0;122.0;155;1.528;;
13835;7000740126155;Max H-Pur | FDA;74.0;126.0;155;1.685;;
13836;7000740129155;Max H-Pur | FDA;74.0;129.0;155;1.805;;
13837;7000740134155;Max H-Pur | FDA;74.0;134.0;155;2.013;;
13838;7000790096155;Max H-Pur | FDA;79.0;96.0;155;0.517;;
13839;7000790103155;Max H-Pur | FDA;79.0;103.0;155;0.738;;
13840;7000790106155;Max H-Pur | FDA;79.0;106.0;155;0.837;;
13841;7000790112155;Max H-Pur | FDA;79.0;112.0;155;1.043;;
13842;7000790118155;Max H-Pur | FDA;79.0;118.0;155;1.261;;
13843;7000790126155;Max H-Pur | FDA;79.0;126.0;155;1.57;;
13844;7000790134155;Max H-Pur | FDA;79.0;134.0;155;1.898;;
13845;7000790142155;Max H-Pur | FDA;79.0;142.0;155;2.247;;
13846;7000820103155;Max H-Pur | FDA;82.0;103.0;155;0.665;;
13847;7000820106155;Max H-Pur | FDA;82.0;106.0;155;0.764;;
